
List of user-set options:

                                    Name   Value                used
                           linear_solver = mumps                 yes
                  ma57_automatic_scaling = yes                    no
                                max_iter = 10000                 yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_lMtildeState_actdyn_GPOPS_IPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:   254728
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

 111 1.3145106e+001 7.86e-003 2.18e-002  -6.1 5.36e-001  -2.4 1.00e+000 1.52e-001f  1
 112 1.3115385e+001 6.40e-003 1.81e-002  -6.7 2.09e-001  -2.0 1.00e+000 1.87e-001h  1
 113 1.3027408e+001 5.14e-003 2.03e-002  -7.0 5.87e-001  -2.5 1.00e+000 1.97e-001f  1
 114 1.2992807e+001 4.09e-003 1.13e-002  -6.7 2.28e-001  -2.0 1.00e+000 2.06e-001h  1
 115 1.2920067e+001 3.46e-003 3.87e-002  -7.0 6.57e-001  -2.5 1.00e+000 1.53e-001f  1
 116 1.2890600e+001 2.90e-003 7.99e-003  -7.0 2.49e-001  -2.1 1.00e+000 1.64e-001h  1
 117 1.2838686e+001 2.60e-003 5.44e-002  -7.3 7.35e-001  -2.6 1.00e+000 1.01e-001f  1
 118 1.2789848e+001 2.21e-003 1.23e-002  -6.9 2.78e-001  -2.1 1.00e+000 2.49e-001h  1
 119 1.2773973e+001 1.80e-003 4.54e-003  -6.7 1.04e-001  -1.7 1.00e+000 2.17e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 1.2738023e+001 3.59e-003 2.14e-002  -7.1 3.11e-001  -2.2 1.00e+000 1.67e-001h  1
 121 1.2710935e+001 5.09e-003 1.78e-002  -6.4 1.27e-001  -1.8 1.00e+000 3.33e-001h  1
 122 1.2695700e+001 3.57e-003 7.59e-003  -5.3 7.40e-002  -1.3 1.00e+000 5.30e-001h  1
 123 1.2685149e+001 4.28e-003 2.02e-002  -5.8 3.63e-001  -1.8 1.00e+000 1.15e-001h  1
 124 1.2658286e+001 8.46e-003 8.97e-003  -7.1 9.48e-002  -1.4 1.00e+000 7.75e-001h  1
 125 1.2624562e+001 9.88e-003 8.46e-003  -6.1 1.72e-001  -1.9 1.00e+000 3.43e-001h  1
 126 1.2593665e+001 9.68e-003 3.87e-002  -5.2 4.37e-001  -2.3 1.00e+000 1.11e-001h  1
 127 1.2534041e+001 3.72e-002 8.29e-002  -5.2 1.52e+000  -2.8 6.84e-001 7.71e-002f  1
 128 1.2456289e+001 3.62e-002 1.48e-001  -5.4 3.52e+000  -3.3 5.09e-001 3.99e-002f  1
 129 1.2292637e+001 3.92e-002 6.02e-002  -5.5 1.39e+000  -2.9 1.00e+000 2.01e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 1.2194375e+001 3.05e-001 7.50e-002  -4.5 1.61e+000  -2.4 1.00e+000 3.39e-001h  1
 131 1.2035536e+001 2.45e-001 9.11e-002  -4.6 1.40e+000  -2.9 1.00e+000 2.04e-001h  1
 132 1.1833707e+001 8.41e-002 4.39e-002  -4.6 5.01e-001  -2.5 1.00e+000 7.04e-001h  1
 133 1.1751493e+001 1.63e-002 1.40e-002  -4.6 1.88e-001  -2.1 1.00e+000 8.13e-001h  1
 134 1.1684317e+001 1.27e-002 9.89e-003  -5.2 5.57e-001  -2.6 9.99e-001 2.21e-001h  1
 135 1.1478470e+001 2.77e-002 6.05e-002  -5.7 1.57e+000  -3.0 9.98e-001 2.54e-001f  1
 136 1.1399010e+001 2.18e-002 8.14e-003  -5.7 5.75e-001  -2.6 1.00e+000 2.62e-001h  1
 137 1.1274137e+001 2.16e-002 6.78e-002  -5.7 1.61e+000  -3.1 1.00e+000 1.56e-001f  1
 138 1.1177120e+001 1.57e-002 1.10e-002  -5.9 6.24e-001  -2.7 1.00e+000 3.15e-001h  1
 139 1.1036487e+001 1.45e-002 7.68e-002  -5.6 1.63e+000  -3.1 1.00e+000 1.73e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 1.0992706e+001 1.26e-002 2.15e-002  -6.0 6.30e-001  -2.7 1.00e+000 1.42e-001h  1
 141 1.0876080e+001 1.19e-002 9.11e-002  -5.5 1.80e+000  -3.2 1.00e+000 1.40e-001f  1
 142 1.0795104e+001 9.27e-003 2.38e-002  -6.2 6.92e-001  -2.8 1.00e+000 2.52e-001h  1
 143 1.0682855e+001 8.72e-003 9.89e-002  -4.5 2.49e+000  -3.2 7.29e-001 1.37e-001f  1
 144 1.0576052e+001 1.31e-002 3.49e-002  -4.8 7.62e-001  -2.8 1.00e+000 3.36e-001h  1
 145 1.0557965e+001 2.69e-002 1.89e-001  -3.6 8.90e+000  -3.3 4.09e-001 3.01e-002f  1
 146 1.0412648e+001 3.30e-002 3.74e-002  -4.5 8.25e-001  -2.9 9.99e-001 4.51e-001h  1
 147 1.0288304e+001 2.09e-002 4.29e-002  -5.6 3.20e-001  -2.4 1.00e+000 9.32e-001h  1
 148 1.0254170e+001 6.56e-003 2.41e-002  -4.7 1.19e-001  -2.0 1.00e+000 1.00e+000h  1
 149 1.0166948e+001 5.32e-003 2.22e-002  -5.2 3.55e-001  -2.5 9.99e-001 6.34e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150 1.0143362e+001 3.12e-003 1.36e-002  -6.1 1.34e-001  -2.1 1.00e+000 4.34e-001h  1
 151 1.0100497e+001 2.42e-003 8.87e-003  -6.6 3.99e-001  -2.5 1.00e+000 2.92e-001h  1
 152 1.0092861e+001 1.10e-002 3.50e-002  -4.5 1.50e+001  -3.0 1.53e-001 2.07e-002h  1
 153 1.0054383e+001 3.65e-002 1.99e-002  -5.1 1.85e+000  -2.6 1.00e+000 2.56e-001h  1
 154 9.9883116e+000 3.07e-002 5.35e-002  -5.2 1.13e+000  -3.1 1.00e+000 1.58e-001h  1
 155 9.9206947e+000 1.80e-002 1.18e-002  -5.2 4.28e-001  -2.6 1.00e+000 4.29e-001h  1
 156 9.8713227e+000 1.78e-002 7.26e-002  -4.9 1.84e+000  -3.1 1.00e+000 1.15e-001h  1
 157 9.8000892e+000 1.17e-002 1.38e-002  -5.5 6.46e-001  -2.7 1.00e+000 4.23e-001h  1
 158 9.6765133e+000 9.41e-003 5.32e-002  -5.9 1.32e+000  -3.2 1.00e+000 2.71e-001f  1
